GEOID,NAME,population,year,level
19001,"Adair County, Iowa",7048,2020,county
19003,"Adams County, Iowa",3633,2020,county
19005,"Allamakee County, Iowa",13761,2020,county
19007,"Appanoose County, Iowa",12462,2020,county
19009,"Audubon County, Iowa",5528,2020,county
19011,"Benton County, Iowa",25558,2020,county
19013,"Black Hawk County, Iowa",131813,2020,county
19015,"Boone County, Iowa",26381,2020,county
19017,"Bremer County, Iowa",25032,2020,county
19019,"Buchanan County, Iowa",21141,2020,county
19021,"Buena Vista County, Iowa",19950,2020,county
19023,"Butler County, Iowa",14508,2020,county
19025,"Calhoun County, Iowa",9656,2020,county
19027,"Carroll County, Iowa",20150,2020,county
19029,"Cass County, Iowa",12990,2020,county
19031,"Cedar County, Iowa",18475,2020,county
19033,"Cerro Gordo County, Iowa",42672,2020,county
19035,"Cherokee County, Iowa",11281,2020,county
19037,"Chickasaw County, Iowa",11970,2020,county
19039,"Clarke County, Iowa",9383,2020,county
19041,"Clay County, Iowa",16138,2020,county
19043,"Clayton County, Iowa",17527,2020,county
19045,"Clinton County, Iowa",46734,2020,county
19047,"Crawford County, Iowa",16998,2020,county
19049,"Dallas County, Iowa",90418,2020,county
19051,"Davis County, Iowa",8977,2020,county
19053,"Decatur County, Iowa",7908,2020,county
19055,"Delaware County, Iowa",17107,2020,county
19057,"Des Moines County, Iowa",39227,2020,county
19059,"Dickinson County, Iowa",17260,2020,county
19061,"Dubuque County, Iowa",97193,2020,county
19063,"Emmet County, Iowa",9322,2020,county
19065,"Fayette County, Iowa",19604,2020,county
19067,"Floyd County, Iowa",15713,2020,county
19069,"Franklin County, Iowa",10091,2020,county
19071,"Fremont County, Iowa",6895,2020,county
19073,"Greene County, Iowa",8923,2020,county
19075,"Grundy County, Iowa",12262,2020,county
19077,"Guthrie County, Iowa",10702,2020,county
19079,"Hamilton County, Iowa",14905,2020,county
19081,"Hancock County, Iowa",10709,2020,county
19083,"Hardin County, Iowa",16924,2020,county
19085,"Harrison County, Iowa",14043,2020,county
19087,"Henry County, Iowa",19889,2020,county
19089,"Howard County, Iowa",9201,2020,county
19091,"Humboldt County, Iowa",9518,2020,county
19093,"Ida County, Iowa",6862,2020,county
19095,"Iowa County, Iowa",16155,2020,county
19097,"Jackson County, Iowa",19348,2020,county
19099,"Jasper County, Iowa",37032,2020,county
19101,"Jefferson County, Iowa",18153,2020,county
19103,"Johnson County, Iowa",150819,2020,county
19105,"Jones County, Iowa",20575,2020,county
19107,"Keokuk County, Iowa",10163,2020,county
19109,"Kossuth County, Iowa",14864,2020,county
19111,"Lee County, Iowa",33946,2020,county
19113,"Linn County, Iowa",225601,2020,county
19115,"Louisa County, Iowa",11125,2020,county
19117,"Lucas County, Iowa",8556,2020,county
19119,"Lyon County, Iowa",11800,2020,county
19121,"Madison County, Iowa",16148,2020,county
19123,"Mahaska County, Iowa",22351,2020,county
19125,"Marion County, Iowa",33193,2020,county
19127,"Marshall County, Iowa",39804,2020,county
19129,"Mills County, Iowa",15023,2020,county
19131,"Mitchell County, Iowa",10588,2020,county
19133,"Monona County, Iowa",8675,2020,county
19135,"Monroe County, Iowa",7761,2020,county
19137,"Montgomery County, Iowa",10016,2020,county
19139,"Muscatine County, Iowa",42703,2020,county
19141,"O'Brien County, Iowa",13796,2020,county
19143,"Osceola County, Iowa",6016,2020,county
19145,"Page County, Iowa",15205,2020,county
19147,"Palo Alto County, Iowa",8941,2020,county
19149,"Plymouth County, Iowa",25141,2020,county
19151,"Pocahontas County, Iowa",6725,2020,county
19153,"Polk County, Iowa",485418,2020,county
19155,"Pottawattamie County, Iowa",93478,2020,county
19157,"Poweshiek County, Iowa",18391,2020,county
19159,"Ringgold County, Iowa",4922,2020,county
19161,"Sac County, Iowa",9711,2020,county
19163,"Scott County, Iowa",172938,2020,county
19165,"Shelby County, Iowa",11544,2020,county
19167,"Sioux County, Iowa",34900,2020,county
19169,"Story County, Iowa",97355,2020,county
19171,"Tama County, Iowa",16962,2020,county
19173,"Taylor County, Iowa",6160,2020,county
19175,"Union County, Iowa",12303,2020,county
19177,"Van Buren County, Iowa",7104,2020,county
19179,"Wapello County, Iowa",35102,2020,county
19181,"Warren County, Iowa",50867,2020,county
19183,"Washington County, Iowa",22100,2020,county
19185,"Wayne County, Iowa",6426,2020,county
19187,"Webster County, Iowa",36348,2020,county
19189,"Winnebago County, Iowa",10474,2020,county
19191,"Winneshiek County, Iowa",20090,2020,county
19193,"Woodbury County, Iowa",102687,2020,county
19195,"Worth County, Iowa",7422,2020,county
19197,"Wright County, Iowa",12644,2020,county
