GeoFIPS,GeoName,year,metric,value,Unit
19000,Iowa,2020,county_personal_income,168097773,Thousands of dollars
19000,Iowa,2021,county_personal_income,186318884,Thousands of dollars
19000,Iowa,2022,county_personal_income,196040112,Thousands of dollars
19000,Iowa,2023,county_personal_income,201755854,Thousands of dollars
19000,Iowa,2024,county_personal_income,211425368,Thousands of dollars
19000,Iowa,2020,county_population,3191141,Number of persons
19000,Iowa,2021,county_population,3198613,Number of persons
19000,Iowa,2022,county_population,3202820,Number of persons
19000,Iowa,2023,county_population,3218414,Number of persons
19000,Iowa,2024,county_population,3241488,Number of persons
19000,Iowa,2020,county_per_capita_income,52676,Dollars
19000,Iowa,2021,county_per_capita_income,58250,Dollars
19000,Iowa,2022,county_per_capita_income,61209,Dollars
19000,Iowa,2023,county_per_capita_income,62688,Dollars
19000,Iowa,2024,county_per_capita_income,65225,Dollars
19001,"Adair, IA",2020,county_personal_income,403853,Thousands of dollars
19001,"Adair, IA",2021,county_personal_income,491147,Thousands of dollars
19001,"Adair, IA",2022,county_personal_income,507908,Thousands of dollars
19001,"Adair, IA",2023,county_personal_income,517616,Thousands of dollars
19001,"Adair, IA",2024,county_personal_income,572064,Thousands of dollars
19001,"Adair, IA",2020,county_population,7489,Number of persons
19001,"Adair, IA",2021,county_population,7522,Number of persons
19001,"Adair, IA",2022,county_population,7457,Number of persons
19001,"Adair, IA",2023,county_population,7399,Number of persons
19001,"Adair, IA",2024,county_population,7431,Number of persons
19001,"Adair, IA",2020,county_per_capita_income,53926,Dollars
19001,"Adair, IA",2021,county_per_capita_income,65295,Dollars
19001,"Adair, IA",2022,county_per_capita_income,68112,Dollars
19001,"Adair, IA",2023,county_per_capita_income,69958,Dollars
19001,"Adair, IA",2024,county_per_capita_income,76983,Dollars
19003,"Adams, IA",2020,county_personal_income,196824,Thousands of dollars
19003,"Adams, IA",2021,county_personal_income,236856,Thousands of dollars
19003,"Adams, IA",2022,county_personal_income,240107,Thousands of dollars
19003,"Adams, IA",2023,county_personal_income,229983,Thousands of dollars
19003,"Adams, IA",2024,county_personal_income,230031,Thousands of dollars
19003,"Adams, IA",2020,county_population,3710,Number of persons
19003,"Adams, IA",2021,county_population,3641,Number of persons
19003,"Adams, IA",2022,county_population,3602,Number of persons
