GeoFIPS,GeoName,year,metric,value,Unit
19000,Iowa,2020,county_real_gdp_all_industry,187261682,Thousands of chained 2017 dollars
19000,Iowa,2021,county_real_gdp_all_industry,202470637,Thousands of chained 2017 dollars
19000,Iowa,2022,county_real_gdp_all_industry,202672531,Thousands of chained 2017 dollars
19000,Iowa,2023,county_real_gdp_all_industry,201359774,Thousands of chained 2017 dollars
19000,Iowa,2024,county_real_gdp_all_industry,206438928,Thousands of chained 2017 dollars
19001,"Adair, IA",2020,county_real_gdp_all_industry,444705,Thousands of chained 2017 dollars
19001,"Adair, IA",2021,county_real_gdp_all_industry,493826,Thousands of chained 2017 dollars
19001,"Adair, IA",2022,county_real_gdp_all_industry,500615,Thousands of chained 2017 dollars
19001,"Adair, IA",2023,county_real_gdp_all_industry,471688,Thousands of chained 2017 dollars
19001,"Adair, IA",2024,county_real_gdp_all_industry,493562,Thousands of chained 2017 dollars
19003,"Adams, IA",2020,county_real_gdp_all_industry,197857,Thousands of chained 2017 dollars
19003,"Adams, IA",2021,county_real_gdp_all_industry,225816,Thousands of chained 2017 dollars
19003,"Adams, IA",2022,county_real_gdp_all_industry,210077,Thousands of chained 2017 dollars
19003,"Adams, IA",2023,county_real_gdp_all_industry,203523,Thousands of chained 2017 dollars
19003,"Adams, IA",2024,county_real_gdp_all_industry,198660,Thousands of chained 2017 dollars
19005,"Allamakee, IA",2020,county_real_gdp_all_industry,599893,Thousands of chained 2017 dollars
19005,"Allamakee, IA",2021,county_real_gdp_all_industry,572482,Thousands of chained 2017 dollars
19005,"Allamakee, IA",2022,county_real_gdp_all_industry,579016,Thousands of chained 2017 dollars
19005,"Allamakee, IA",2023,county_real_gdp_all_industry,542899,Thousands of chained 2017 dollars
19005,"Allamakee, IA",2024,county_real_gdp_all_industry,581652,Thousands of chained 2017 dollars
19007,"Appanoose, IA",2020,county_real_gdp_all_industry,403188,Thousands of chained 2017 dollars
19007,"Appanoose, IA",2021,county_real_gdp_all_industry,446207,Thousands of chained 2017 dollars
19007,"Appanoose, IA",2022,county_real_gdp_all_industry,403479,Thousands of chained 2017 dollars
19007,"Appanoose, IA",2023,county_real_gdp_all_industry,385741,Thousands of chained 2017 dollars
19007,"Appanoose, IA",2024,county_real_gdp_all_industry,382833,Thousands of chained 2017 dollars
19009,"Audubon, IA",2020,county_real_gdp_all_industry,287723,Thousands of chained 2017 dollars
19009,"Audubon, IA",2021,county_real_gdp_all_industry,318560,Thousands of chained 2017 dollars
19009,"Audubon, IA",2022,county_real_gdp_all_industry,329550,Thousands of chained 2017 dollars
19009,"Audubon, IA",2023,county_real_gdp_all_industry,329951,Thousands of chained 2017 dollars
19009,"Audubon, IA",2024,county_real_gdp_all_industry,350679,Thousands of chained 2017 dollars
19011,"Benton, IA",2020,county_real_gdp_all_industry,846384,Thousands of chained 2017 dollars
19011,"Benton, IA",2021,county_real_gdp_all_industry,915952,Thousands of chained 2017 dollars
19011,"Benton, IA",2022,county_real_gdp_all_industry,861859,Thousands of chained 2017 dollars
19011,"Benton, IA",2023,county_real_gdp_all_industry,845949,Thousands of chained 2017 dollars
19011,"Benton, IA",2024,county_real_gdp_all_industry,850412,Thousands of chained 2017 dollars
19013,"Black Hawk, IA",2020,county_real_gdp_all_industry,7712598,Thousands of chained 2017 dollars
19013,"Black Hawk, IA",2021,county_real_gdp_all_industry,8164033,Thousands of chained 2017 dollars
19013,"Black Hawk, IA",2022,county_real_gdp_all_industry,7908976,Thousands of chained 2017 dollars
19013,"Black Hawk, IA",2023,county_real_gdp_all_industry,7778364,Thousands of chained 2017 dollars
19013,"Black Hawk, IA",2024,county_real_gdp_all_industry,7574396,Thousands of chained 2017 dollars
19015,"Boone, IA",2020,county_real_gdp_all_industry,1018118,Thousands of chained 2017 dollars
19015,"Boone, IA",2021,county_real_gdp_all_industry,1071019,Thousands of chained 2017 dollars
19015,"Boone, IA",2022,county_real_gdp_all_industry,1050545,Thousands of chained 2017 dollars
19015,"Boone, IA",2023,county_real_gdp_all_industry,1063912,Thousands of chained 2017 dollars
19015,"Boone, IA",2024,county_real_gdp_all_industry,993019,Thousands of chained 2017 dollars
19017,"Bremer, IA",2020,county_real_gdp_all_industry,1077594,Thousands of chained 2017 dollars
19017,"Bremer, IA",2021,county_real_gdp_all_industry,1200191,Thousands of chained 2017 dollars
19017,"Bremer, IA",2022,county_real_gdp_all_industry,1242031,Thousands of chained 2017 dollars
19017,"Bremer, IA",2023,county_real_gdp_all_industry,1211668,Thousands of chained 2017 dollars
19017,"Bremer, IA",2024,county_real_gdp_all_industry,1219738,Thousands of chained 2017 dollars
19019,"Buchanan, IA",2020,county_real_gdp_all_industry,758103,Thousands of chained 2017 dollars
19019,"Buchanan, IA",2021,county_real_gdp_all_industry,811025,Thousands of chained 2017 dollars
19019,"Buchanan, IA",2022,county_real_gdp_all_industry,814725,Thousands of chained 2017 dollars
19019,"Buchanan, IA",2023,county_real_gdp_all_industry,813337,Thousands of chained 2017 dollars
19019,"Buchanan, IA",2024,county_real_gdp_all_industry,827056,Thousands of chained 2017 dollars
19021,"Buena Vista, IA",2020,county_real_gdp_all_industry,1233632,Thousands of chained 2017 dollars
19021,"Buena Vista, IA",2021,county_real_gdp_all_industry,1332742,Thousands of chained 2017 dollars
19021,"Buena Vista, IA",2022,county_real_gdp_all_industry,1464077,Thousands of chained 2017 dollars
19021,"Buena Vista, IA",2023,county_real_gdp_all_industry,1438690,Thousands of chained 2017 dollars
19021,"Buena Vista, IA",2024,county_real_gdp_all_industry,1545409,Thousands of chained 2017 dollars
19023,"Butler, IA",2020,county_real_gdp_all_industry,399522,Thousands of chained 2017 dollars
19023,"Butler, IA",2021,county_real_gdp_all_industry,538350,Thousands of chained 2017 dollars
19023,"Butler, IA",2022,county_real_gdp_all_industry,547292,Thousands of chained 2017 dollars
19023,"Butler, IA",2023,county_real_gdp_all_industry,562531,Thousands of chained 2017 dollars
19023,"Butler, IA",2024,county_real_gdp_all_industry,515993,Thousands of chained 2017 dollars
19025,"Calhoun, IA",2020,county_real_gdp_all_industry,379460,Thousands of chained 2017 dollars
19025,"Calhoun, IA",2021,county_real_gdp_all_industry,438092,Thousands of chained 2017 dollars
19025,"Calhoun, IA",2022,county_real_gdp_all_industry,441673,Thousands of chained 2017 dollars
19025,"Calhoun, IA",2023,county_real_gdp_all_industry,415119,Thousands of chained 2017 dollars
19025,"Calhoun, IA",2024,county_real_gdp_all_industry,416525,Thousands of chained 2017 dollars
19027,"Carroll, IA",2020,county_real_gdp_all_industry,1300799,Thousands of chained 2017 dollars
19027,"Carroll, IA",2021,county_real_gdp_all_industry,1357263,Thousands of chained 2017 dollars
19027,"Carroll, IA",2022,county_real_gdp_all_industry,1382448,Thousands of chained 2017 dollars
19027,"Carroll, IA",2023,county_real_gdp_all_industry,1351948,Thousands of chained 2017 dollars
19027,"Carroll, IA",2024,county_real_gdp_all_industry,1396164,Thousands of chained 2017 dollars
19029,"Cass, IA",2020,county_real_gdp_all_industry,637212,Thousands of chained 2017 dollars
19029,"Cass, IA",2021,county_real_gdp_all_industry,710340,Thousands of chained 2017 dollars
19029,"Cass, IA",2022,county_real_gdp_all_industry,700778,Thousands of chained 2017 dollars
19029,"Cass, IA",2023,county_real_gdp_all_industry,724350,Thousands of chained 2017 dollars
19029,"Cass, IA",2024,county_real_gdp_all_industry,743875,Thousands of chained 2017 dollars
19031,"Cedar, IA",2020,county_real_gdp_all_industry,564546,Thousands of chained 2017 dollars
19031,"Cedar, IA",2021,county_real_gdp_all_industry,683174,Thousands of chained 2017 dollars
19031,"Cedar, IA",2022,county_real_gdp_all_industry,665355,Thousands of chained 2017 dollars
19031,"Cedar, IA",2023,county_real_gdp_all_industry,620598,Thousands of chained 2017 dollars
