GeoFIPS,GeoName,year,metric,value,Unit
01000,Alabama,2020,state_real_gdp,223025.5,Millions of chained 2017 dollars
01000,Alabama,2021,state_real_gdp,233951.1,Millions of chained 2017 dollars
01000,Alabama,2022,state_real_gdp,239846.6,Millions of chained 2017 dollars
01000,Alabama,2023,state_real_gdp,248313.7,Millions of chained 2017 dollars
01000,Alabama,2024,state_real_gdp,255629.4,Millions of chained 2017 dollars
01000,Alabama,2020,state_current_gdp,235859,Millions of current dollars
01000,Alabama,2021,state_current_gdp,260325,Millions of current dollars
01000,Alabama,2022,state_current_gdp,286873.3,Millions of current dollars
01000,Alabama,2023,state_current_gdp,309543.8,Millions of current dollars
01000,Alabama,2024,state_current_gdp,325345.1,Millions of current dollars
02000,Alaska,2020,state_real_gdp,50901.3,Millions of chained 2017 dollars
02000,Alaska,2021,state_real_gdp,51764,Millions of chained 2017 dollars
02000,Alaska,2022,state_real_gdp,50509.1,Millions of chained 2017 dollars
02000,Alaska,2023,state_real_gdp,54183.8,Millions of chained 2017 dollars
02000,Alaska,2024,state_real_gdp,55945.7,Millions of chained 2017 dollars
02000,Alaska,2020,state_current_gdp,51861.7,Millions of current dollars
02000,Alaska,2021,state_current_gdp,59363,Millions of current dollars
02000,Alaska,2022,state_current_gdp,65682.5,Millions of current dollars
02000,Alaska,2023,state_current_gdp,68232.7,Millions of current dollars
02000,Alaska,2024,state_current_gdp,71567.2,Millions of current dollars
04000,Arizona,2020,state_real_gdp,366588,Millions of chained 2017 dollars
04000,Arizona,2021,state_real_gdp,396457.5,Millions of chained 2017 dollars
04000,Arizona,2022,state_real_gdp,413798.8,Millions of chained 2017 dollars
04000,Arizona,2023,state_real_gdp,427644,Millions of chained 2017 dollars
04000,Arizona,2024,state_real_gdp,446968.2,Millions of chained 2017 dollars
04000,Arizona,2020,state_current_gdp,390503.2,Millions of current dollars
04000,Arizona,2021,state_current_gdp,438136,Millions of current dollars
04000,Arizona,2022,state_current_gdp,488722.2,Millions of current dollars
04000,Arizona,2023,state_current_gdp,530105,Millions of current dollars
04000,Arizona,2024,state_current_gdp,570088.6,Millions of current dollars
05000,Arkansas,2020,state_real_gdp,128395.6,Millions of chained 2017 dollars
05000,Arkansas,2021,state_real_gdp,137634.8,Millions of chained 2017 dollars
05000,Arkansas,2022,state_real_gdp,138672,Millions of chained 2017 dollars
05000,Arkansas,2023,state_real_gdp,141968,Millions of chained 2017 dollars
05000,Arkansas,2024,state_real_gdp,147389.9,Millions of chained 2017 dollars
05000,Arkansas,2020,state_current_gdp,136145.9,Millions of current dollars
05000,Arkansas,2021,state_current_gdp,154261.8,Millions of current dollars
05000,Arkansas,2022,state_current_gdp,167863.5,Millions of current dollars
05000,Arkansas,2023,state_current_gdp,178114.8,Millions of current dollars
05000,Arkansas,2024,state_current_gdp,188339.6,Millions of current dollars
06000,California,2020,state_real_gdp,2930654.6,Millions of chained 2017 dollars
06000,California,2021,state_real_gdp,3151112.5,Millions of chained 2017 dollars
06000,California,2022,state_real_gdp,3147211.4,Millions of chained 2017 dollars
06000,California,2023,state_real_gdp,3204016.4,Millions of chained 2017 dollars
06000,California,2024,state_real_gdp,3306928.6,Millions of chained 2017 dollars
06000,California,2020,state_current_gdp,3072927.6,Millions of current dollars
06000,California,2021,state_current_gdp,3418256.1,Millions of current dollars
06000,California,2022,state_current_gdp,3618289.7,Millions of current dollars
06000,California,2023,state_current_gdp,3827007.3,Millions of current dollars
06000,California,2024,state_current_gdp,4048108.1,Millions of current dollars
08000,Colorado,2020,state_real_gdp,380544,Millions of chained 2017 dollars
08000,Colorado,2021,state_real_gdp,406309.2,Millions of chained 2017 dollars
08000,Colorado,2022,state_real_gdp,422576.1,Millions of chained 2017 dollars
08000,Colorado,2023,state_real_gdp,440225.2,Millions of chained 2017 dollars
08000,Colorado,2024,state_real_gdp,448838.5,Millions of chained 2017 dollars
08000,Colorado,2020,state_current_gdp,396981.1,Millions of current dollars
08000,Colorado,2021,state_current_gdp,445781.3,Millions of current dollars
08000,Colorado,2022,state_current_gdp,499197.4,Millions of current dollars
08000,Colorado,2023,state_current_gdp,533268.6,Millions of current dollars
08000,Colorado,2024,state_current_gdp,557633,Millions of current dollars
