GEOID;NAME;poverty_1parent_und1E;poverty_1parent_und1M
19001;Adair County, Iowa;171;84
19003;Adams County, Iowa;15;16
19005;Allamakee County, Iowa;166;109
19007;Appanoose County, Iowa;352;158
19009;Audubon County, Iowa;102;61
19011;Benton County, Iowa;265;83
19013;Black Hawk County, Iowa;4003;634
19015;Boone County, Iowa;234;109
19017;Bremer County, Iowa;316;162
19019;Buchanan County, Iowa;325;152
19021;Buena Vista County, Iowa;273;175
19023;Butler County, Iowa;188;84
19025;Calhoun County, Iowa;65;33
19027;Carroll County, Iowa;205;86
19029;Cass County, Iowa;491;174
19031;Cedar County, Iowa;262;98
19033;Cerro Gordo County, Iowa;742;257
19035;Cherokee County, Iowa;354;222
19037;Chickasaw County, Iowa;38;32
19039;Clarke County, Iowa;122;102
19041;Clay County, Iowa;429;205
19043;Clayton County, Iowa;367;138
19045;Clinton County, Iowa;1313;432
19047;Crawford County, Iowa;640;234
19049;Dallas County, Iowa;1163;472
19051;Davis County, Iowa;25;24
19053;Decatur County, Iowa;137;65
19055;Delaware County, Iowa;131;78
19057;Des Moines County, Iowa;1031;325
19059;Dickinson County, Iowa;171;88
19061;Dubuque County, Iowa;1757;489
19063;Emmet County, Iowa;164;105
19065;Fayette County, Iowa;419;160
19067;Floyd County, Iowa;402;180
19069;Franklin County, Iowa;249;143
19071;Fremont County, Iowa;33;31
19073;Greene County, Iowa;120;86
19075;Grundy County, Iowa;79;44
19077;Guthrie County, Iowa;231;91
19079;Hamilton County, Iowa;116;108
19081;Hancock County, Iowa;270;122
19083;Hardin County, Iowa;130;90
19085;Harrison County, Iowa;204;101
19087;Henry County, Iowa;396;139
19089;Howard County, Iowa;208;98
19091;Humboldt County, Iowa;392;166
19093;Ida County, Iowa;127;60
19095;Iowa County, Iowa;350;194
19097;Jackson County, Iowa;428;154
19099;Jasper County, Iowa;358;180
19101;Jefferson County, Iowa;90;78
19103;Johnson County, Iowa;1884;552
19105;Jones County, Iowa;481;232
19107;Keokuk County, Iowa;173;87
19109;Kossuth County, Iowa;171;92
19111;Lee County, Iowa;921;294
19113;Linn County, Iowa;3975;769
19115;Louisa County, Iowa;133;86
19117;Lucas County, Iowa;89;68
19119;Lyon County, Iowa;115;82
19121;Madison County, Iowa;221;161
19123;Mahaska County, Iowa;580;197
19125;Marion County, Iowa;266;101
19127;Marshall County, Iowa;697;360
19129;Mills County, Iowa;140;83
19131;Mitchell County, Iowa;34;32
19133;Monona County, Iowa;144;94
19135;Monroe County, Iowa;168;108
19137;Montgomery County, Iowa;212;135
19139;Muscatine County, Iowa;1408;345
19141;O'Brien County, Iowa;372;72
19143;Osceola County, Iowa;335;127
19145;Page County, Iowa;227;126
19147;Palo Alto County, Iowa;104;60
19149;Plymouth County, Iowa;363;141
19151;Pocahontas County, Iowa;83;40
19153;Polk County, Iowa;10831;1461
19155;Pottawattamie County, Iowa;2281;412
19157;Poweshiek County, Iowa;230;131
19159;Ringgold County, Iowa;13;13
19161;Sac County, Iowa;225;104
19163;Scott County, Iowa;3666;700
19165;Shelby County, Iowa;42;36
19167;Sioux County, Iowa;358;211
19169;Story County, Iowa;990;334
19171;Tama County, Iowa;744;185
19173;Taylor County, Iowa;74;52
19175;Union County, Iowa;290;128
19177;Van Buren County, Iowa;65;36
19179;Wapello County, Iowa;1025;329
19181;Warren County, Iowa;282;189
19183;Washington County, Iowa;382;114
19185;Wayne County, Iowa;123;56
19187;Webster County, Iowa;661;288
19189;Winnebago County, Iowa;247;92
19191;Winneshiek County, Iowa;40;65
19193;Woodbury County, Iowa;3292;601
19195;Worth County, Iowa;49;38
19197;Wright County, Iowa;420;189
